Original Name,Wiki Name,Summary
Alpheratz,Alpheratz,"Alpha Andromedae (Alpha And, α And, α Andromedae), which has the traditional names Alpheratz (or Alpherat from the Arabic word الفرس) and Sirrah (or Sirah), is the brightest star in the constellation of Andromeda. Located immediately northeast of the constellation of Pegasus, it is the northeastern star of the Great Square of Pegasus. Ptolemy considered Alpha Andromedae to be shared by Pegasus, and Bayer assigned it a designation in both constellations: Alpha Andromedae (α And) and Delta Pegasi (δ Peg). When the modern constellation boundaries were fixed in 1930, the latter designation dropped from use.
It is located 97 light-years from Earth. Although it appears to the naked eye as a single star, with overall apparent visual magnitude +2.06, it is actually a binary system composed of two stars in close orbit. The chemical composition of the brighter of the two stars is unusual as it is a mercury-manganese star whose atmosphere contains abnormally high levels of mercury, manganese, and other elements, including gallium and xenon. It is the brightest mercury-manganese star known."
Caph,Caph,"Beta Cassiopeiae (β Cas, β Cassiopeiae) is a Delta Scuti variable star in the constellation Cassiopeia. It is a subgiant or giant star belonging to the spectral class F2. The white star of second magnitude (+2.27 mag) has an absolute magnitude of +1.16 mag. It has the traditional name Caph, from the Arabic word كف kaf, ""palm"" (i.e. reaching from the Pleiades)."
Algenib,Algenib,"Alpha Persei (Alpha Per, α Persei, α Per) is the brightest star in the northern constellation of Perseus, just outshining the constellation's best known star, Algol. Known by the traditional names Mirfak and Algenib, it is a circumpolar star when viewed from the latitude of New York City or higher. It has an apparent visual magnitude of 1.8, placing it among the brightest stars in the sky. Mirfak lies in the midst of a cluster of stars eponymously named the Alpha Persei Cluster, or Melotte 20, which is easily visible in binoculars and includes many of the fainter stars in the constellation. The distance to this star has been determined using the parallax technique, putting it 510 light-years (160 parsecs) away."
Ankaa,Ankaa,"Alpha Phoenicis (α Phe, α Phoenicis), or Ankaa, is the brightest star in the constellation Phoenix."
Shedir,Shedir,"Alpha Cassiopeiae (α Cas, α Cassiopeiae) is a second magnitude star in the constellation Cassiopeia, with the traditional name Schedar, sometimes spelled Shedir. Though listed as the ""alpha star"" by Johann Bayer, α Cas's visual brightness closely rivals the beta star in the constellation (Beta Cassiopeiae, also known as Caph) and it may appear marginally brighter or dimmer, depending on which passband is used. However, recent calculations from NASA's WISE telescope confirm that α Cas is the brightest in Cassiopeia, with a apparent magnitude of 2.240. Its absolute magnitude is 18 times greater than β Cas, although it is located farther away from Earth (228 light years versus 54)."
Diphda,Diphda,"Beta Ceti (β Cet, β Ceti) is the brightest star in the constellation Cetus. Although it has the Bayer designation ""beta"", it is actually brighter than Alpha Ceti. It has the traditional names Deneb Kaitos and Diphda. This orange giant is easy to identify due to its location in an otherwise dark section of the celestial sphere. Based on parallax measurements, it lies at an estimated distance of 96.3 light-years (29.5 parsecs) from Earth."
96 G. Psc,96 G. Psc,"This is the list of notable stars in the constellation Pisces, sorted by decreasing brightness."
Mirach,Mirach,"Beta Andromedae (Beta And, β And, β Andromedae) is the Bayer designation for a prominent star in the northern constellation of Andromeda. It has the traditional name Mirach, which is also spelled Merach, Mirac, Mirak. β Andromedae is located northeast of the Great Square of Pegasus and is theoretically visible to all observers north of 54° S. The galaxy NGC 404, also known as Mirach's Ghost, is visible seven arc-minutes away.
This star has an average apparent visual magnitude of 2.05, which makes it the brightest star in the constellation. However, the luminosity varies slightly from magnitude +2.01 to +2.10. Based upon parallax measurements, it is located at a distance of roughly 197 light-years (60 parsecs) from Earth. The apparent magnitude of this star is reduced by 0.06 from extinction caused by the gas and dust along the line of sight."
Ruchbah,Ruchbah,"The traditional star name Rucbah can refer to three different stars:
Alpha Aquarii in the Aquarius constellation
Delta Cassiopeiae in the Cassiopeia constellation
Alpha Sagittarii in the Sagittarius constellation (Al Rami, Rukbat)
Alpha Sagittarii in fiction, namely Rukbat, is the sun in Pern stories by Anne McCaffrey, from 1967"
Achernar,Achernar,"Achernar /ˈeɪkərnɑːr/ (α Eri, α Eridani, Alpha Eridani), sometimes spelled Achenar, is the brightest star in the constellation Eridanus and the tenth-brightest star in the night sky. Of the ten apparent brightest stars in the nighttime sky, Achernar is the hottest and bluest in color, being of spectral type B. Lying at the southern tip of Eridanus, the star has an unusually rapid rotational velocity, causing it to become oblate in shape. Achernar is actually a binary star system, with the second star known as Achernar B. The second star is smaller and orbits Achernar A at a distance of roughly 12 astronomical units (AU). Achernar B is of spectral type A."
Sheratan,Sheratan,"Beta Arietis (β Ari, β Arietis) is a binary star system in the constellation Aries, marking the Ram's second horn."
Almaak,Almaak,"Gamma Andromedae (Gamma And, γ And, γ Andromedae) is the third brightest point of light in the constellation of Andromeda. It is also known by the traditional name Almach (also spelt as Almaach, Almaack, Almak, Almaak, or Alamak).
In 1778, Johann Tobias Mayer discovered that γ Andromedae was a double star. When examined in a small telescope, it appears to be a bright, golden yellow star (γ1 Andromedae) next to a dimmer, indigo blue star (γ2 Andromedae), separated by approximately 10 arcseconds. It is often considered by stargazers to be a beautiful double star with a striking contrast of color. It was later discovered that γ2 Andromedae is itself a triple star system. What appears as a single star to the naked eye is thus a quadruple star system, approximately 350 light-years from the Earth."
Hamal,Hamal,"Hamal (α Ari, α Arietis, Alpha Arietis) is the brightest star in the northern zodiacal constellation of Aries. It has the Bayer designation α Arietis and the Flamsteed designation of 13 Arietis. With an apparent visual magnitude of 2.0, it is among the brightest stars in the night sky. Based upon parallax measurements made with Hipparcos astrometry satellite, Hamal is about 65.8 light-years (20.2 parsecs) from Earth. It is a giant star that may host an orbiting planet with a mass greater than Jupiter."
Polaris,Polaris,"Polaris (α Ursae Minoris, α UMi, commonly the North Star or Pole Star) is the brightest star in the constellation Ursa Minor. It is very close to the north celestial pole, making it the current northern pole star. The revised Hipparcos parallax gives a distance to Polaris of about 433 light-years (133 parsecs), while calculations by other methods derive distances around 30% closer.
Polaris is a multiple star, comprising the main star, α UMi Aa, which is a supergiant; two smaller companions, α UMi B and α UMi Ab; and two distant components, α UMi C and α UMi D. α UMi B was discovered in 1780 by William Herschel."
268 G. Cet,268 G. Cet,"This is the list of notable stars in the constellation Cetus, sorted by decreasing brightness."
Acamar,Acamar,"Theta Eridani (θ Eri, θ Eridani) is a star in the constellation Eridanus. It has the traditional name Acamar from the Arabic آخِر النَّهْر Ākhir an-nahr which means ""the end of the river"". Historically, Acamar represented the end of the constellation Eridanus. Now that distinction is held by the star Achernar, a star which shares the same Arabic etymology. Achernar is not visible from the Greek isles (latitudes > 33° North), hence the choice of Acamar as the river's end during the time of Hipparchus and later Ptolemy.
The term Ākhir an-nahr or Achr al Nahr was appeared in the catalogue of stars in the Calendarium of Al Achsasi Al Mouakket, which was translated into Latin as Postrema Fluminis.
In Chinese, 天園 (Tiān Yuán), meaning Celestial Orchard, refers to an asterism consisting of θ Eridani, χ Eridani, φ Eridani, κ Eridani, HD 16754, HD 23319, HD 24072, HD 24160, υ4 Eridani, 43 Eridani, υ2 Eridani and υ1 Eridani. Consequently, θ Eridani itself is known as 天園六 (Tiān Yuán liù, English: the Sixth Star of Celestial Orchard.)
Acamar is a double star with some evidence suggesting it is part of a multiple star system. The main star, θ1 Eri, is of the spectral class A4 and has a +3.2 apparent magnitude. Its companion star, θ2 Eri, is of the spectral class A1 and has an apparent magnitude of +4.3. The angular separation of the two stars is equal to 8.3 arcseconds. Acamar's distance from Earth as measured by the Hipparcos astrometry satellite is approximately 120 light-years.
Ptolemy described Acamar as a first-magnitude star, which some have taken to be in fact Achernar, which today appears just above the horizon in Alexandria where Ptolemy lived.
Achernar, however, was not visible to Ptolemy (it is from Alexandria today due to precession); its declination in 100CE was -67, making it invisible even at Aswan. Ptolemy's Eridanus thus without doubt ended at Acamar, which rose about 10 degrees above the horizon from Alexandria. This fact besides positively identifying Acamar as the original ""end of the river"", also strengthens the case for Acamar having been first magnitude in ancient times."
Menkar,Menkar,"Alpha Ceti (α Cet, α Ceti) is a star in the constellation of Cetus. It has the traditional name Menkar or Menkab. The name Menkar derives from the Arabic word منخر manħar ""nostril"" (of Cetus).
This star, along with γ Cet (Kaffaljidhma), δ Cet, λ Cet (Menkar), μ Cet, ξ1 Cet and ξ2 Cet were Al Kaff al Jidhmah, ""the Part of a Hand"".
In Chinese, 天囷 (Tiān Qūn), meaning Circular Celestial Granary, refers to an asterism consisting of α Ceti, κ1 Ceti, λ Ceti, μ Ceti, ξ1 Ceti, ξ2 Ceti, ν Ceti, γ Ceti, δ Ceti, 75 Ceti, 70 Ceti, 63 Ceti and 66 Ceti. Consequently, α Ceti itself is known as 天囷一 (Tiān Qūn yī, English: the First Star of Circular Celestial Granary.)"
Algol,Algol,"Algol (Beta Per, β Persei, β Per), known colloquially as the Demon Star, is a bright star in the constellation Perseus. It is one of the best known eclipsing binaries, the first such star to be discovered, and also one of the first (non-nova) variable stars to be discovered. Algol is actually a three-star system (Beta Persei Aa1, Aa2, and Ab) in which the large and bright primary β Persei Aa1 is regularly eclipsed by the dimmer β Persei Aa2. Thus, Algol's magnitude is usually near-constant at 2.1, but regularly dips to 3.4 every 2.86 days (2 days, 20 hours and 49 minutes) during the roughly 10-hour-long partial eclipses. There is also a secondary eclipse (the ""second minimum"") when the brighter star occults the fainter secondary. This secondary eclipse can only be detected photoelectrically. Algol gives its name to its class of eclipsing variable, known as Algol variables."
82 G. Eri,82 G. Eri,"Barnard's Star /ˈbɑːrnərd/ is a very-low-mass red dwarf about six light-years away from Earth in the constellation of Ophiuchus. It is the fourth-closest known individual star to the Sun (after the three components of the Alpha Centauri system) and the closest star in the Northern Hemisphere. Despite its proximity, at a dim apparent magnitude of about nine, it is not visible with the unaided eye; however, it is much brighter in the infrared than it is in visible light.
The star is named for American astronomer E. E. Barnard. He was not the first to observe the star (it appeared on Harvard University plates in 1888 and 1890), but in 1916 he measured its proper motion as 10.3 arcseconds per year, which remains the largest known proper motion of any star relative to the Solar System.
Barnard's Star is among the most studied red dwarfs because of its proximity and favorable location for observation near the celestial equator. Historically, research on Barnard's Star has focused on measuring its stellar characteristics, its astrometry, and also refining the limits of possible extrasolar planets. Although Barnard's Star is an ancient star, it still experiences star flare events, one being observed in 1998.
The star has also been the subject of some controversy. For a decade, from the early 1960s to the early 1970s, Peter van de Kamp claimed that there were one or more gas giants in orbit around it. Although the presence of small terrestrial planets around Barnard's Star remains a possibility, Van de Kamp's specific claims of large gas giants were refuted in the mid-1970s.

"
Mirphak,Mirphak,"Alpha Persei (Alpha Per, α Persei, α Per) is the brightest star in the northern constellation of Perseus, just outshining the constellation's best known star, Algol. Known by the traditional names Mirfak and Algenib, it is a circumpolar star when viewed from the latitude of New York City or higher. It has an apparent visual magnitude of 1.8, placing it among the brightest stars in the sky. Mirfak lies in the midst of a cluster of stars eponymously named the Alpha Persei Cluster, or Melotte 20, which is easily visible in binoculars and includes many of the fainter stars in the constellation. The distance to this star has been determined using the parallax technique, putting it 510 light-years (160 parsecs) away."
Alcyone,Alcyone,"Alcyone (η Tau, η Tauri, Eta Tauri) is a star system in the constellation Taurus. It is the brightest star in the Pleiades open cluster, which is a young cluster, aged at around 100 million years. Alcyone is approximately 440 light years from Earth. It is named after the mythological figure Alcyone, one of the mythological Pleiades. It is known as 昴宿六 (the Sixth Star of the Hairy Head) in Chinese."
Zaurak,Zaurak,"Gamma Eridani (γ Eri, γ Eridani) is a star in the constellation Eridanus. It has the traditional name Zaurak, which means ""the boat.""
In Chinese, 天苑 (Tiān Yuàn), meaning Celestial Meadows, refers to an asterism consisting of γ Eridani, δ Eridani, π Eridani, ε Eridani, ζ Eridani, η Eridani, π Ceti, τ1 Eridani, τ2 Eridani, τ3 Eridani, τ4 Eridani, τ5 Eridani, τ6 Eridani, τ7 Eridani, τ8 Eridani and τ9 Eridani. Consequently, γ Eridani itself is known as 天苑一 (Tiān Yuàn yī, English: the First Star of Celestial Meadows.)"
Aldebaran,Aldebaran,"Aldebaran (α Tau, α Tauri, Alpha Tauri) is an orange giant star located about 65 light years away. It is the brightest star in the zodiac constellation of Taurus. It varies slowly in brightness between magnitude 0.75 and 0.95, which means it is usually the fourteenth brightest star in the nighttime sky. The name Aldebaran is Arabic (الدبران al-dabarān) and means ""the Follower"", presumably because it rises near and soon after the Pleiades. It is likely that Aldebaran hosts a planet several times the size of Jupiter.
The planetary exploration probe Pioneer 10 is currently heading in the general direction of the star and should make its closest approach in about two million years."
Hassaleh,Hassaleh,"Iota Aurigae (ι Aur, ι Aurigae) is a star in the northern constellation of Auriga. It has the traditional name Al Kab, short for Kabdhilinan, from the Arabic الكعب ذي العنان al-kacb ðīl-cinān ""the shoulder of the rein holder (charioteer)"". Under the name Alkab, this star is a marker on the astrolabe described by Geoffrey Chaucer in his Treatise on the Astrolabe in 1391. In Antonín Bečvář's atlas it has the traditional name Hassaleh. It is known as 五車一 (the First Star of the Five Chariots) in Chinese.
This star has an apparent visual magnitude of 2.7, which is bright enough to be readily visible to the naked eye. Parallax measurements give a distance estimate of roughly 490 light-years (150 parsecs) from the Earth. At this distance, extinction from interstellar dust is causing a magnitude reduction of about 0.6. Examination of the spectrum yields a stellar classification of K3 II, with the luminosity class of 'II' indicating this is a category of evolved star known as a bright giant. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. The effective temperature of the outer envelope is 4,160 K, which is cooler than the Sun's effective temperature and gives Iota Aurigae the orange hue of a K-type star.
This star is a weak X-ray emitter with an X-ray luminosity of about 1.8 × 1027 ergs s−1. This emission is most likely coming from transient loops of plasma in Iota Aurigae's outer atmosphere, which have a temperature of around 3 million K. This is a suspected variable star, although this variability remains unconfirmed."
Cursa,Cursa,"Beta Eridani (Beta Eri, β Eridani, β Eri) is the second brightest star in the constellation of Eridanus, located in the northeast end of this constellation near the shared border with Orion. It has the traditional name Cursa. The apparent visual magnitude of this star is 2.796, so it can be viewed with the naked eye in dark skies. Parallax measurements yield an estimated distance of about 89 light-years (27 parsecs) from the Earth."
Rigel,Rigel,"Rigel, also known by its Bayer designation Beta Orionis (β Ori, β Orionis), is the brightest star in the constellation Orion and the seventh brightest star in the night sky, with visual magnitude 0.13. The star as seen from Earth is actually a triple or quadruple star system, with the primary star (Rigel A) a blue-white supergiant that is estimated to be anywhere from 120,000 to 279,000 times as luminous as the Sun, depending on method used to calculate its properties. It has exhausted its core hydrogen and swollen out to between 79 and 115 times the Sun's radius. It pulsates quasi-periodically and is classified as an Alpha Cygni variable. A companion, Rigel B, is 500 times fainter than the supergiant Rigel A and visible only with a telescope. Rigel B is itself a spectroscopic binary system, consisting of two main sequence blue-white stars of spectral type B9V that are estimated to be respectively 3.9 and 2.9 times as massive as the Sun. Rigel B also appears to have a very close visual companion Rigel C of almost identical appearance."
Capella,Capella,"Capella is the brightest star in the constellation Auriga, the sixth brightest in the night sky and the third brightest in the northern celestial hemisphere, after Arcturus and Vega. Its name is derived from the diminutive of the Latin feminine capra ""goat"", hence ""little she goat"". Capella also bears the Bayer designation Alpha Aurigae (often abbreviated to α Aurigae, α Aur or Alpha Aur). Although it appears to be a single star to the naked eye, it is actually a star system of four stars in two binary pairs. The first pair consists of two bright, type-G giant stars, designated Capella Aa and Capella Ab, in a very tight circular orbit some 0.76 AU apart and a derived orbital period of 104 days.
Capella Aa is the brighter of the two at spectral class G8III (G8 Giant) whereas Ab is slightly smaller and of spectral class G0III (G0 Giant). Aa has a calculated mass of 3.05 times that of the Sun and Ab some 2.57 times that of the Sun. These two stars have both exhausted their core hydrogen fuel and become giant stars, though it is unclear exactly what stage they are on the stellar evolutionary pathway. The second pair, around 10,000 astronomical units from the first, consists of two faint, small and relatively cool red dwarfs. They are designated Capella H and Capella L. The stars labelled Capella C through to G and I through to K are actually unrelated stars in the same visual field. The Capella system is relatively close, at only 42.8 light-years (13.1 pc) from Earth."
Bellatrix,Bellatrix,"Bellatrix, also known by its Bayer designation Gamma Orionis (γ Ori, γ Orionis), is the third brightest star in the constellation Orion, 5° right of the red giant α Ori (Betelgeuse). Just between the 1st and 2nd magnitude, it is the 27th brightest star in the night sky."
Alnath,Alnath,"Beta Tauri (β Tau, β Tauri) is the second brightest star in the constellation Taurus, with an apparent magnitude of 1.68. Ptolemy considered Beta Tauri to be shared by Auriga, and Bayer assigned it a designation in both constellations: Beta Tauri (β Tau) and Gamma Aurigae (γ Aur). When the modern constellation boundaries were fixed in 1930, the latter designation dropped from use. The star has the traditional name Elnath—a reference to ""the butting"" of the bull's horns."
Mintaka,Mintaka,"Mintaka is a star some 1,200 light years distant in the constellation Orion. It has a Bayer designation of Delta Orionis (δ Ori) and a Flamsteed designation of 34 Orionis. The name Mintaka comes from منطقة manṭaqa, which means ""the belt"" in Arabic. Together with Alnitak (Zeta Orionis) and Alnilam (Epsilon Orionis), the three stars make up the belt of Orion, known by many names among ancient cultures. When Orion is close to the meridian, Mintaka is the right-most of the belt's stars as seen by an observer in the Northern Hemisphere facing south."
Arneb,Arneb,"Alpha Leporis (α Lep, α Leporis) is the brightest star in the constellation Lepus. It has the traditional name Arneb, from the Arabic أرنب ’arnab ""hare"".
This is a massive star with about 14 times the mass of the Sun. The interferometer-measured angular diameter of this star, after correction for limb darkening, is 1.77 ± 0.09 mas. At an estimated distance of 2,218 light-years (680 parsecs), this yields a physical size of about 129 times the radius of the Sun. Alpha Leporis has a stellar classification of F0 Ib, with the Ib luminosity class indicating that it is a lower luminosity supergiant star. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. The effective temperature of the outer envelope is about 6,850 K, which gives the star a yellow-white hue that is typical of F-type stars. It is an estimated 13 million years old.
Alpha Leporis is an older, dying star that may have already passed through a supergiant phase and is now contracting and heating up in the latter phases of stellar evolution, or perhaps is still expanding into the supergiant phase. Based upon its estimated mass, it is expected to end its life in a spectacular stellar explosion known as a supernova."
Hatsya,Hatsya,"Iota Orionis (ι Ori, ι Orionis) is a star in the equatorial constellation of Orion the hunter. The apparent visual magnitude of Iota Orionis is 2.77, making it the eighth brightest member of Orion.
Iota Orionis is the brightest star in an asterism known as Orion's sword. It has the traditional names Hatsya or Hatysa and in Arabic, Na’ir al Saif, which means simply ""the Bright One of the Sword."" From parallax measurements, it is located at a distance of roughly 1,330 light-years (410 parsecs) from Earth.
Iota Orionis is a quadruple system dominated by a massive spectroscopic binary with an eccentric (e=0.764), 29-day orbit. The two components of ι Ori A are a stellar class O9 III star (blue giant) and a class B0.8 III/IV star about 2 magnitudes fainter. The collision of the stellar winds from this pair makes the system a strong X-ray source. Oddly, the two objects of this system appear to have different ages, with the secondary being about double the age of the primary. In combination with the high eccentricity of their orbit, this suggests that the binary system was created through a capture, rather than by being formed together and undergoing a mass transfer. This capture may have occurred, for example, through an encounter between two binary systems.
ι Ori has a B8 giant companion at 11"" (approximately 5,000 AU) which has been shown to be variable, and likely to be a young stellar object. There is also a fainter A0 star at 49"" catalogued as ι Ori C."
Alnilam,Alnilam,"Alnilam is a large blue supergiant star some 1,340 light years distant in the constellation of Orion. It has a Bayer designation of Epsilon Orionis (ε Ori) and its Flamsteed designation is 46 Orionis. It is estimated to be 275,000 to 537,000 times as luminous as the Sun, and around 34 times as massive."
Phakt,Phakt,"Alpha Columbae (α Columbae, α Col) is the Bayer designation for a third magnitude star in the southern constellation of Columba. It has the traditional name of Phact, which is derived from the Arabic term for ""ring-necked dove"". It has an apparent visual magnitude of 2.6, making it the brightest member of Columba. Based upon parallax measurements made during the Hipparcos mission, Alpha Columbae is located at a distance of around 261 light-years (80 parsecs)."
Alnitak,Alnitak,"Alnitak (Arabic: النطاق an-niṭāq‎) is a multiple star several hundred parsecs away in the constellation Orion. It is part of Orion's Belt along with Alnilam and Mintaka, and has a Bayer designation of Zeta Orionis (ζ Ori) and a Flamsteed designation of 50 Orionis.
The primary star is a hot blue supergiant with an absolute magnitude of -6.0 and is the brightest class O star in the night sky with a visual magnitude of +2.0. It has two bluish 4th magnitude companions, one finely resolved and one only detected interferometrically and spectroscopically, producing a combined magnitude for the trio of +1.77. The stars are members of the Orion OB1 association and the Collinder 70 association."
Saiph,Saiph,"Saiph (κ Orionis, 53 Orionis) is the sixth-brightest star in the constellation of Orion. Of the four bright stars that compose Orion's main quadrangle, it is the star at the south-eastern corner. A northern-hemisphere observer facing south would see it at the lower left of Orion, and a southern-hemisphere observer facing north would see it at the upper right. The name Saiph is from the Arabic saif al jabbar, 'سیف الجبّار' literally sword of the giant. This name was originally applied to Eta Orionis.
In the 17th century catalogue of stars in the Calendarium of Al Achsasi al Mouakket, this star was designated Rekbah al Jauza al Yemeniat, which was translated into Latin as Genu Dextrum Gigantis ""right knee of the giant"".
Parallax measurements yield an estimated distance of 650 light-years (198 parsecs) from Earth, which is about the same as Betelgeuse. However, despite being a hotter star, it is smaller and less luminous than Rigel with an apparent visual magnitude of 2.1. The luminosity of this star changes slightly, varying by 0.04 magnitudes.
Saiph has a stellar classification of B0.5 Ia. The luminosity class 'Ia' represents a bright supergiant star that has exhausted the supply of hydrogen at its core and evolved away from the main sequence. Saiph has a strong stellar wind and is losing mass at the rate of 9.0 × 10−7 times the mass of the Sun per year, or the equivalent of the Sun's mass every 1.1 million years. Using a combination of parallax as determined by HIPPARCOS and spectrum yields a mass 15.50 ± 1.25 times and luminosity 56,881 times that of the Sun. Analysis of the spectra and age of the members of the Orion OB1 association yields a mass 28 times that of the Sun (from an original mass 31.8 times that of the Sun) and an age of 6.2 million years. Large stars such as Saiph (and many other stars in Orion) are destined to collapse on themselves and explode as Type II supernovae."
Betelgeuse,Betelgeuse,"Betelgeuse, also known by its Bayer designation Alpha Orionis (shortened to α Orionis or α Ori), is the ninth-brightest star in the night sky and second-brightest in the constellation of Orion. Distinctly reddish, it is a semiregular variable star whose apparent magnitude varies between 0.0 and 1.3, the widest range of any first-magnitude star. Betelgeuse is one of three stars that make up the Winter Triangle, and it marks the center of the Winter Hexagon. The star's name is derived from the Arabic إبط الجوزاء Ibt al-Jauzā' or يد الجوزاء Yad al-Jauzā', meaning ""the hand of Orion"".
The star is classified as a red supergiant of spectral type M1-2 and is one of the largest and most luminous observable stars. If Betelgeuse were at the center of the Solar System, its surface would extend past the asteroid belt, possibly to the orbit of Jupiter and beyond, wholly engulfing Mercury, Venus, Earth and Mars. Estimates of its mass are poorly constrained, but range from 5 to 30 times that of the Sun. Its distance from Earth was estimated in 2008 at 640 light-years, yielding a mean absolute magnitude of about −6. Less than 10 million years old, Betelgeuse has evolved rapidly because of its high mass. Having been ejected from its birthplace in the Orion OB1 Association—which includes the stars in Orion's Belt—this crimson runaway has been observed moving through the interstellar medium at a supersonic speed of 30 km/s, creating a bow shock over 4 light-years wide. Currently in a late stage of stellar evolution, the supergiant is expected to proceed through its life cycle before exploding as a type II supernova within the next million years. An observation by the Herschel Space Observatory in January 2013 revealed that the star's winds are crashing against the surrounding interstellar medium.
In 1920, Betelgeuse became the second star (after the Sun) to have the angular size of its photosphere measured. Since then, researchers have used telescopes with different technical parameters to measure the stellar giant, often with conflicting results. Studies since 1990 have produced an angular diameter (apparent size) ranging from 0.043 to 0.056 arcseconds, an incongruity largely caused by the star's tendency to periodically change shape. Due to limb darkening, variability, and angular diameters that vary with wavelength, many of the star's properties are not yet known with any certainty. Adding to these challenges, the surface of Betelgeuse is obscured by a complex, asymmetric envelope roughly 250 times the size of the star, caused by colossal mass loss."
Menkalinan,Menkalinan,"Beta Aurigae (β Aur, β Aurigae) is the Bayer designation for a binary star system in the northern constellation of Auriga. It has the traditional name Menkalinan, which is shortened from the Arabic منكب ذي العنان mankib ðī-l-‘inān ""shoulder of the rein-holder"". It is known as 五車三 (the Third Star of the Five Chariots) in traditional Chinese astronomy. The combined apparent visual magnitude of the system is 1.9, making it the second brightest member of the constellation after Capella. Using the parallax measurements made during the Hipparcos mission, the distance to this star system can be estimated as 81.1 light-years (24.9 parsecs), give or take a half light year margin of error."
