Original Name,Wiki Name,Summary
Izar,Izar,"Epsilon Boötis (ε Boo, ε Boötis) is a double star in the northern constellation of Boötes. It has the traditional name Izar and was named Pulcherrima (most beautiful) by Otto Struve. The star system can be viewed with the unaided eye at night, but resolving the pair with a small telescope is challenging; an aperture of 76 mm (3.0 in) or greater is required."
Kochab,Kochab,"Beta Ursae Minoris (β UMi, β Ursae Minoris) is the brightest star in the bowl of the ""Little Dipper"" (which is part of the constellation Ursa Minor), and only slightly fainter than Polaris, the northern pole star and brightest star in Ursa Minor. It has the traditional name Kochab. Kochab is 16 degrees from Polaris and has an apparent visual magnitude of 2.08. The distance to this star can be deduced from the parallax measurements made during the Hipparcos, yielding a value of 130.9 light-years (40.1 parsecs).
Kochab and its neighbor Pherkad served as twin pole stars, circling the North Pole, from 1500 BC until 500 AD. Ancient Egyptian astronomers referred to them as ""The Indestructibles"". Neither star was as proximitous to the celestial north pole as Polaris is now. Today, they are sometimes referred to as the ""Guardians of the Pole."" Due to precession of the equinoxes, the previous holder of the title was Thuban, and the next was the present-day Polaris. This succession of pole stars is a result of Earth's precessional motion.
Amateur astronomers can use Kochab as a very precise guide for setting up a telescope, as the celestial north pole is located 43 arcminutes away from Polaris, very close to the line connecting Polaris with Kochab."
Zubenelgenubi,Zubenelgenubi,"Alpha Librae (α Lib, α Librae), or Zubenelgenubi, is the second brightest star in the constellation Libra (despite its Bayer designation as alpha). Alpha2 Librae is 0.33 degree from the ecliptic so it can be easily occulted by the Moon and (very rarely) by planets. The next occultation by a planet will be by Mercury on 10 November 2052."
Zubeneschemali,Zubeneschemali,"Beta Librae (β Lib, β Librae), or Zubeneschamali, is the brightest star in the zodiac constellation of Libra. The apparent visual magnitude of this star is 2.6. From parallax measurements, its distance can be estimated as 185 light-years (57 parsecs) from Earth."
Alphekka,Alphekka,"Alpha Coronae Borealis (α CrB, α Coronae Borealis, Alphecca) is a binary star in the constellation Corona Borealis. It is located about 75 light years from our Solar System."
Unukalhai,Unukalhai,"Alpha Serpentis (α Serpentis, α Ser) is a double star in the head (Serpens Caput) of the equatorial constellation Serpens. It has the traditional name Unukalhai. With an apparent visual magnitude of 2.6, this star is the brightest in the constellation and it can be viewed with the naked eye from most of the Earth. Parallax measurements yield an estimated distance of about 74 light-years (23 parsecs) from Earth."
Dschubba,Dschubba,"Delta Scorpii (δ Sco, δ Scorpii) is a star in the constellation Scorpius. It has the traditional name Dschubba.
Because it is near the ecliptic δ Scorpii is occasionally occulted by the Moon, or (extremely rarely) by planets. It was once used as a spectroscopic standard for the B0 IV classification, but is now considered too unusual and variable.
Delta Scorpii is a proper motion member of the Upper Scorpius subgroup of the Scorpius–Centaurus OB association, the nearest such co-moving association of massive stars to the Sun. The Upper Scorpius subgroup contains thousands of young stars with mean age 11 million years at average distance of 470 light years (145 parsecs)."
Graffias,Graffias,"USS Graffias (AF-29), a Hyades-class stores ship, is the only ship of the United States Navy to have this name. The name Graffias is another name for the star Beta Scorpii in the constellation Scorpius.
The Graffias was originally laid down in 1943 as Topa Topa, a Maritime Commission type (C2-S-E1) hull under Maritime Commission contract (MC hull 1610) at the Gulf Shipbuilding Company, Chickasaw, Alabama. The ship was acquired by the United States Navy on 19 February 1944 and subsequently converted by the Bethlehem Steel Company, Baltimore, Maryland. The Graffias was commissioned at Baltimore on 28 October 1944, with Lieutenant Commander B. P. Caraher in command."
Antares,Antares,"Antares (/ænˈtɑːriːz/), also known by its Bayer designation Alpha Scorpii (abbreviated to α Scorpii or α Sco), is the fifteenth brightest star in the night sky and the brightest star in the constellation Scorpius, and is often referred to as ""the heart of the scorpion"". Along with Aldebaran, Regulus, and Fomalhaut, Antares comprises the group known as the 'Royal stars of Persia'. It is one of the four brightest stars near the ecliptic.
Distinctly reddish when viewed with the unaided eye, Antares is a red supergiant of spectral type M0.5Iab and is one of the largest and most luminous observable stars. It is a slow irregular variable star with the quoted magnitude of +0.96. Antares is the brightest, most massive, and most evolved stellar member of the nearest OB association (the Scorpius-Centaurus Association). Antares is a member of the Upper Scorpius subgroup of the Scorpius-Centaurus Association, which contains thousands of stars with mean age 11 million years at a distance of approximately 145 parsecs (470 light years)."
Rasalgethi,Rasalgethi,"Alpha Herculis (α Her, α Herculis) is a multiple star system in the constellation Hercules. It has the traditional name Rasalgethi or Ras Algethi (Arabic: رأس الجاثي ra's al-jaθiyy‎ Head of the Kneeler), and the Flamsteed designation 64 Herculis. The traditional name ""Head"" comes from the fact that in antiquity Hercules was depicted upside down on the constellation maps.
The term ra's al-jaθiyy or Ras al Djathi was appeared in the catalogue of stars in the Calendarium of Al Achsasi al Mouakket, which was translated into Latin as Caput Ingeniculi.
In Chinese astronomy, Rasalgethi is called 帝座, Pinyin: Dìzuò, meaning Emperor's Seat, this star is marking itself and stands alone in the center of Emperor's Seat asterism, Heavenly Market enclosure (see : Chinese constellations). 帝座 (Dìzuò) was westernized into Ti Tso by R.H. Allen, with the same meaning"
Rastaban,Rastaban,"Beta Draconis (β Draconis, β Dra) is the third brightest star in the northern circumpolar constellation of Draco. It has the traditional name Rastaban, which has also been used for Gamma Draconis. With an apparent visual magnitude of 2.79, it is bright enough to be easily seen with the naked eye. Based upon parallax measurements from the Hipparcos astrometry satellite, it lies at a distance of about 380 light-years (120 parsecs) from Earth.
Compared to the Sun, this is an enormous star with six times the mass and roughly 40 times the radius. At this size, Beta Draconis is emitting about 950 times the luminosity of the Sun from its outer envelope at an effective temperature of 5,160 K, giving it the yellow hue of a G-type star. The spectrum matches a stellar classification of G2 Ib–IIa, with the luminosity class notation Ib–IIa indicating it lies part way between the bright giant and giant stages of its stellar evolution. It is about 67 million years old.
This is a binary star system, with a binary star designation of ADS 10611, in which the supergiant is orbited by a dwarf companion once every four millennia or so."
Shaula,Shaula,"Lambda Scorpii (λ Sco, λ Scorpii) is a blue star and the second brightest star system in the constellation Scorpius, and one of the brightest stars in the nighttime sky. It has the Bayer designation λ despite being the second brightest in its constellation. It has the traditional name Shaula, which comes from the Arabic الشولاء al-šawlā´ meaning the raised [tail], as it is found in the tail of the scorpion (Scorpius). It is known as Wei Xiu Ba 尾宿八 (the Eighth Star of the Tail) in Chinese."
Rasalhague,Rasalhague,"Alpha Ophiuchi (α Oph, α Ophiuchi) is the brightest star in the constellation Ophiuchus. It has the traditional name Ras Alhague, often condensed to Rasalhague.
Alpha Ophiuchi is a binary star system with an orbital period of about 8.62 years. The orbital parameters were only poorly known until 2011 when observations using adaptive optics produced a better orbital fit, allowing the individual masses of the two components to be determined. The primary component, Alpha Ophiuchi A, has a mass of about 2.4 times the mass of the Sun, while the secondary, Alpha Ophiuchi B, has 0.85 solar masses. Estimates of the mass of the primary by other means range from a low of 1.92 to 2.10 solar masses, up to 2.84 or even 4.8 solar masses. The mass of the secondary suggests that it has a stellar classification in the range K5V to K7V, which indicates it is a main sequence star that is still generating energy by the thermonuclear fusion of hydrogen at its core. The pair reached periastron passage, or closest approach, around April 19, 2012, when they had an angular separation of 50 milliarcseconds.
This star system has a combined apparent magnitude of +2.08 and is located at a distance of about 48.6 light-years (14.9 parsecs) from the Earth. The stellar classification of A5 III indicates that the primary is a giant star that has evolved away from the main sequence after consuming the hydrogen at its core. It is radiating about 25 times the luminosity of the Sun and has an effective temperature of about 8,000 K, giving it the characteristic white hue of an A-type star.
Alpha Ophiuchi A is a rapidly rotating star with a projected rotational velocity of 240 km s−1. It is spinning at a rate of about 88.5% of the velocity that would cause the star to break up. The resulting equatorial bulge is about 20% larger than the polar radius, giving the star the shape of an oblate spheroid. Because of this distorted shape, the poles have an effective temperature about 1,840 K greater than along the equator. The axis of rotation of the star is inclined about 87.°7 ± 0°4 to the line of sight from the Earth, so that it is being observed from nearly equator-on.
The spectrum of Alpha Ophiuchi shows an anomalously high level of absorption of the lines for singly-ionized calcium (Ca II). However, this is likely the result of interstellar matter between the Earth and the star, rather than a property of the star or circumstellar dust."
Sargas,Sargas,"Theta Scorpii (θ Sco, θ Scorpii) is a star in the southern zodiac constellation of Scorpius. It has the traditional name Sargas, of Sumerian origin. In Chinese, it is referred to as 尾宿五 (Mandarin: wěi xiù wǔ), the Fifth Star of the Tail. The apparent visual magnitude of this star is +1.87, making it readily visible to the naked eye and one of the brightest stars in the night sky. It is sufficiently near that the distance can be measured directly using the parallax technique, which yields an estimate of roughly 300 light years (90 parsecs).
This is an evolved bright giant star with a stellar classification of F0 II. With a mass 5.7 times that of the Sun, it has expanded to about 26 times the Sun's radius. It is radiating 1,834 times as much luminosity as the Sun from its outer envelope at an effective temperature of 7,268, giving it the yellow-white hued glow of an F-type star. This star is rotating rapidly, giving it an oblate shape with an equatorial radius 19% larger than the polar radius.
It has a magnitude 5.36 companion at an angular separation of 6.470 arcseconds.

"
Cebalrai,Cebalrai,"Beta Ophiuchi (β Oph, β Ophiuchi) is a star in the equatorial constellation of Ophiuchus. It has the traditional names Celbalrai, which comes from the Arabic كلب الراعي kalb al-rā‘ī meaning ""shepherd dog"". It is also called Cheleb, Kelb Alrai, or sometimes just Alrai. The apparent visual magnitude of this star is 2.7, which is readily visible to the naked eye even from urban skies. The distance to this star can be estimated using parallax measurements, yielding a value of 81.8 light-years (25.1 parsecs).
This is a giant star with a stellar classification of K2 III. Although it is only 13% greater in mass than the Sun, it has reached a stage in its evolution where the atmosphere has expanded to about 12 times the Sun's radius and is radiating 63 times the luminosity of the Sun. Its outer envelope is relatively cool with an effective temperature of 4,467 K, giving it the orange hue typical of K-type stars. Like some other K-type giants, β Ophiuchi has been found to vary very slightly (0.02 magnitudes) in brightness.,
Cebalrai is a member of the thin disk population. It is following a low eccentricity orbit through the Milky Way galaxy that carries it between a distance of 27.3–30.9 kly (8.4–9.5 kpc) from the Galactic Center and up to 0.62 kly (0.19 kpc) above or below the galactic plane."
Etamin,Etamin,"Gamma Draconis (γ Dra, γ Draconis) is the Bayer designation for a star in the northern constellation of Draco. It has the traditional name Etamin, Eltanin or Ettanin and the Flamsteed designation 33 Draconis. Despite its gamma designation, it is actually the brightest star in Draco at magnitude 2.4, outshining Rastaban (Beta Draconis) by nearly half a magnitude. Its proximity to the zenith point directly overhead of London has earned it the name ""Zenith Star."" As for other places, it is relatively easy to locate in the night sky. If one finds Vega, Eltanin is the red star just north-northwest of it.
Eltanin lies around 154.3 light-years (47.3 parsecs) away, as determined by parallax measurements from the Hipparcos astrometry satellite. In 1728, while unsuccessfully attempting to measure the parallax of this star, James Bradley discovered the aberration of light resulting from the movement of the Earth. Bradley's discovery confirmed Copernicus' theory that the Earth revolved around the Sun."
Kaus Meridionalis,Kaus Meridionalis,"Delta Sagittarii (Delta Sgr, δ Sagittarii, δ Sgr) is a double star in the southern zodiac constellation of Sagittarius. It has the traditional names Kaus Media, Kaus Meridionalis, and Media.The apparent visual magnitude of this star is +2.70, making it easily visible to the naked eye. Parallax measurements place the distance at roughly 348 light-years (107 parsecs) from Earth.
This is a giant star with a stellar classification K3 III.
It has three dim companions:
a 14th magnitude star at a separation of 26 arcseconds,
a 15th magnitude star at a separation of 40 arcseconds, and
a 13th magnitude star at a separation of 58 arcseconds from the primary.
It is not certain that these stars form a physical system or whether they are merely aligned by chance."
Kaus Australis,Kaus Australis,"Epsilon Sagittarii (Epsilon Sgr, ε Sagittarii, ε Sgr) is a binary star system in the southern zodiac constellation Sagittarius. Its traditional name is Kaus Australis. The apparent visual magnitude of +1.85 makes it the brightest star in the constellation. Based upon parallax measurements, the distance to this star is around 143 light-years (44 parsecs)."
Kaus Borealis,Kaus B,"Delta Sagittarii (Delta Sgr, δ Sagittarii, δ Sgr) is a double star in the southern zodiac constellation of Sagittarius. It has the traditional names Kaus Media, Kaus Meridionalis, and Media.The apparent visual magnitude of this star is +2.70, making it easily visible to the naked eye. Parallax measurements place the distance at roughly 348 light-years (107 parsecs) from Earth.
This is a giant star with a stellar classification K3 III.
It has three dim companions:
a 14th magnitude star at a separation of 26 arcseconds,
a 15th magnitude star at a separation of 40 arcseconds, and
a 13th magnitude star at a separation of 58 arcseconds from the primary.
It is not certain that these stars form a physical system or whether they are merely aligned by chance."
Vega,Vega,"Vega (α Lyr, α Lyrae, Alpha Lyrae) is the brightest star in the constellation Lyra, the fifth brightest star in the night sky and the second brightest star in the northern celestial hemisphere, after Arcturus. It is a relatively close star at only 25 light-years from Earth, and, together with Arcturus and Sirius, one of the most luminous stars in the Sun's neighborhood.
Vega has been extensively studied by astronomers, leading it to be termed ""arguably the next most important star in the sky after the Sun."" Vega was the northern pole star around 12,000 BCE and will be so again around the year 13,727 when the declination will be +86°14'. Vega was the first star other than the Sun to be photographed and the first to have its spectrum recorded. It was one of the first stars whose distance was estimated through parallax measurements. Vega has served as the baseline for calibrating the photometric brightness scale, and was one of the stars used to define the mean values for the UBV photometric system.
Vega is only about a tenth of the age of the Sun, but since it is 2.1 times as massive its expected lifetime is also one tenth of that of the Sun; both stars are at present approaching the midpoint of their life expectancies. Vega has an unusually low abundance of the elements with a higher atomic number than that of helium. Vega is also a suspected variable star that may vary slightly in magnitude in a periodic manner. It is rotating rapidly with a velocity of 274 km/s at the equator. This is causing the equator to bulge outward because of centrifugal effects, and, as a result, there is a variation of temperature across the star's photosphere that reaches a maximum at the poles. From Earth, Vega is being observed from the direction of one of these poles.
Based on an observed excess emission of infrared radiation, Vega appears to have a circumstellar disk of dust. This dust is likely to be the result of collisions between objects in an orbiting debris disk, which is analogous to the Kuiper belt in the Solar System. Stars that display an infrared excess because of dust emission are termed Vega-like stars."
Sheliak,Sheliak,"USS Sheliak (AKA-62) was an Andromeda-class attack cargo ship named after Beta Lyrae, a binary star system in the constellation Lyra. She was one of a handful of AKA's manned by a Coast Guard crew. USS Sheliak served as a commissioned ship for 17 months.
Sheliak (AKA-62) was laid down on 19 June 1944 under Maritime Commission contract (MC hull 214) by the Federal Shipbuilding and Drydock Co., Kearny, N.J.; launched on 17 October 1944; sponsored by Mrs. Nellie Blanch Regan; and commissioned on 1 December 1944, Comdr. Searcy J. Lowery, USCG, in command."
Nunki,Nunki,"Sigma Sagittarii (Sigma Sgr, σ Sagittarii, σ Sgr) is the second brightest star in the constellation Sagittarius. Its modern name Nunki is an Assyrian or Babylonian name recovered by archaeologists and made public by R. H. Allen. Nunki has an apparent magnitude of +2.05, making it readily visible to the naked eye. The distance to this star, determined using parallax measurements from the Hipparcos astrometry satellite, yields an estimated value of 228 light-years (70 parsecs) from Earth.
Nunki has a spectrum matching a stellar classification of B2.5 V, which indicates this is a B-type main sequence star. The total luminosity of σ Sgr is 3300 times that of the Sun while it has a surface temperature of 18,890 K. X-ray emission has been detected from this star, which has an estimated X-ray luminosity of 1.2 × 1028 erg s−1. Sigma Sgr has a 10th magnitude optical companion located 5.2 arcminutes away.
Because it is close to the ecliptic, Nunki can be occulted by the Moon and very rarely by planets. The last occultation of Nunki by a planet took place on November 17, 1981, when it was occulted by Venus. Furthermore, Nunki is the brightest star that can be principally occulted by an exterior planet between 5000 BC and 5000 AD. However, only Mars can do this, and only rarely; the last time was on September 3, 423."
Albaldah,Albaldah,"Pi Sagittarii (Pi Sgr, π Sagittarii, π Sgr) is a triple star system in the zodiac constellation Sagittarius. It has the traditional name Albaldah.
Albaldah has an apparent visual magnitude of +2.89, which is sufficiently bright to be readily seen with the naked eye. Based upon parallax measurements, this star is located at a distance of roughly 510 light-years (160 parsecs) from Earth. Because it is close to the ecliptic, Albaldah can sometimes be occulted by the Moon, and, very rarely, planets of the Solar System. The next occultation by a planet takes place on February 17, 2035, when it will be occulted by Venus.
The spectrum of this star matches a stellar classification of F2 II. The 'II' luminosity class is for a bright giant star that has exhausted the hydrogen at its core and has followed an evolutionary track away from the main sequence of stars like the Sun. Because it has nearly six times the mass of the Sun, it reached this stage in a mere 67 million years. The outer envelope is radiating energy at an effective temperature of about 6,590 K, giving it the yellow-white hue of an F-type star.
Pi Sagittarii has two nearby companions. The first is located at an angular separation of 0.1 arcseconds from Albaldah, or at least 13 Astronomical Units (AU). The second is 0.4 arcseconds away, which is 40 AU or more. Nothing is known about the orbits of these stars."
Albireo,Albireo,"Albireo (β Cyg, β Cygni, Beta Cyg, Beta Cygni) is the fifth brightest star in the constellation Cygnus. Although it has the Bayer designation beta, it is fainter than Gamma Cygni, Delta Cygni, and Epsilon Cygni. Albireo appears to the naked eye to be a single star of magnitude 3 but through a telescope, even low magnification views resolve it into a double star. The brighter yellow star (actually itself a very close binary system) makes a striking colour contrast with its fainter blue companion star."
Tarazed,Tarazed,"Gamma Aquilae (γ Aql, γ Aquilae) is a star in the constellation Aquila. It has the traditional name Tarazed. This star has an apparent visual magnitude of 2.712, so it is readily visible to the naked eye at night. Parallax measurements place it at a distance of 395 light-years (121 parsecs) from Earth."
Altair,Altair,"Altair (α Aquilae, α Aql) is the brightest star in the constellation Aquila and the twelfth brightest star in the night sky. It is currently in the G-cloud—a nearby accumulation of gas and dust known as an interstellar cloud. Altair is an A-type main sequence star with an apparent visual magnitude of 0.77 and is one of the vertices of the Summer Triangle (the other two vertices are marked by Deneb and Vega). It is 16.7 light-years (5.13 parsecs) from Earth and is one of the closest stars visible to the naked eye.
Altair rotates rapidly, with a velocity at the equator of approximately 286 km/s. This is a significant fraction of the star's estimated breakup speed of 400 km/s. A study with the Palomar Testbed Interferometer revealed that Altair is not spherical, but is flattened at the poles due to its high rate of rotation. Other interferometric studies with multiple telescopes, operating in the infrared, have imaged and confirmed this phenomenon.

"
Alshain,Alshain,"Beta Aquilae (β Aql, β Aquilae) is a star in the constellation Aquila. It has the traditional name Alshain from the Perso-Arabic term الشاهين aš-šāhīn ""the (peregrine) falcon"", perhaps by folk etymology from the Persian šāhīn tarāzū (or possibly šāhīn tara zed; see γ Aquilae), the Persian name for the asterism α, β and γ Aquilae.
In Chinese, 河鼓 (Hé Gŭ), meaning River Drum, refers to an asterism consisting of β Aquilae, Altair and γ Aql. Consequently, β Aquilae itself is known as 河鼓一 (Hé Gŭ yī, English: the First Star of River Drum.)
In the catalogue of stars in the Calendarium of Al Achsasi al Mouakket, this star was designated Unuk al Ghyrab (عنق ألغراب - únuq al-ghuraab), which was translated into Latin as Collum Corvi, meaning the crow's neck.
Beta Aquilae has magnitude 3.71 and is of spectral class G8IV. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. It is approximately 44.7 light years from Earth. It has a 12th magnitude optical companion, β Aquilae B, which is 13 arcseconds away in the sky."
Deneb,Deneb,"Deneb (/ˈdɛnɛb/; α Cyg, α Cygni, Alpha Cygni) is the brightest star in the constellation Cygnus, it is one of the vertices of the Summer Triangle and forms the 'head' of the Northern Cross. It is the 19th brightest star in the night sky, with an apparent magnitude of 1.25. A blue-white supergiant, Deneb is also one of the most luminous nearby stars. However, its exact distance (and hence luminosity) has been difficult to calculate; it is estimated to be somewhere between 55,000 and 196,000 times as luminous as the Sun."
Gienah,Gienah,"Gienah is the traditional name of two stars, each marking a wing (Arabic janāħ) of its constellation:
γ Corvi, in Corvus
ε Cygni, in Cygnus"
Alderamin,Alderamin,"Alpha Cephei (α Cep, α Cephei) is a second magnitude star in the constellation of Cepheus near the northern pole. The star is relatively close to Earth at only 49 light years. It has the traditional name Alderamin, an Arabic name meaning ""the right arm""."
Sadalsuud,Sadalsuud,"Beta Aquarii (β Aqr, β Aquarii) is a double star in the constellation Aquarius. It has the traditional name Sadalsuud, from an Arabic expression سعد السعود sa‘d al-su‘ūd, the ""luck of lucks"". Other spellings that are sometimes encountered are Sad es Saud, Sadalsund, and Saad el Sund.
In the catalogue of stars in the Calendarium of Al Achsasi Al Mouakket, this star was designated Nir Saad al Saaoud, which was translated into Latin as Lucida Fortunæ Fortunarum (rather identic with R.H. Allen), meaning the brightest of luck of lucks."
Enif,Enif,"Epsilon Pegasi (ε Peg, ε Pegasi) is the brightest star in the northern constellation of Pegasus. It has the traditional name Enif (EE-nif). The name Enif is derived from the Arabic word for nose, due to its position as the muzzle of Pegasus. With an apparent visual magnitude of 2.4, this is a second-magnitude star that is readily visible to the naked eye. The distance to this star can be estimated using parallax measurements from the Hipparcos astrometry satellite, yielding a value of around 690 light-years (210 parsecs).
Other traditional names for the star include Fom al Feras, Latinised to Os Equi. In Chinese, 危宿 (Wēi Sù), meaning Rooftop (asterism), refers to an asterism consisting of ε Pegasi, α Aquarii and θ Peg. Consequently, ε Pegasi itself is known as 危宿三 (Wēi Sù sān, English: the Third Star of Rooftop.)"
Sadalmelik,Sadalmelik,"HD 211575 (SAO 146004, HR 8507) is a star located at right ascension 22h 18m 4.3s, declination −0° 14′ 16.0″, having a spectral type of F3V in the constellation Aquarius in between ""Gamma Aquarii"", ""Pi Aquarii"" and ""Sadalmelik"""
Alnair,Alnair,"Grus (/ˈɡrʌs/, or colloquially /ˈɡruːs/) is a constellation in the southern sky. Its name is Latin for the crane, a type of bird. It is one of twelve constellations conceived by Petrus Plancius from the observations of Pieter Dirkszoon Keyser and Frederick de Houtman. Grus first appeared on a 35-cm (14 in) diameter celestial globe published in 1598 in Amsterdam by Plancius and Jodocus Hondius and was depicted in Johann Bayer's star atlas Uranometria of 1603. French explorer and astronomer Nicolas Louis de Lacaille gave Bayer designations to its stars in 1756, some of which had been previously considered part of the neighbouring constellation Piscis Austrinus. The constellations Grus, Pavo, Phoenix and Tucana are collectively known as the ""Southern Birds"".
The constellation's brightest star, Alpha Gruis, is also known as Alnair and appears as a 1.7-magnitude blue-white star. Beta Gruis is a red giant variable star with a minimum magnitude of 2.3 and a maximum magnitude of 2.0. Six star systems have been found to have planets: the red dwarf Gliese 832 is one of the closest stars to Earth to have a planetary system. Another—WASP-95—has a planet that orbits every two days. Deep-sky objects found in Grus include the planetary nebula IC 5148, also known as the Spare Tyre Nebula, and a group of four interacting galaxies known as the Grus Quartet."
Matar,Matar,"USS Matar (AK-119) was a Crater-class cargo ship commissioned by the U.S. Navy for service in World War II, named after Matar, the star in constellation Pegasus. She was responsible for delivering troops, goods and equipment to locations in the war zone."
Fomalhaut,Fomalhaut,"Fomalhaut (Alpha Piscis Austrini, Alpha PsA, α Piscis Austrini, α PsA) is the brightest star in the constellation Piscis Austrinus and one of the brightest stars in the sky. It is a class A star on the main sequence approximately 25 light-years (7.7 pc) from Earth as measured by the Hipparcos astrometry satellite. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. It is classified as a Vega-like star that emits excess infrared radiation, indicating it is surrounded by a circumstellar disk. Fomalhaut, K-type star TW Piscis Austrini and M-type star LP 876-10 constitute a triple system even though the companions are separated by several degrees.
Fomalhaut holds a special significance in extrasolar planet research, as it is the center of the first stellar system with an extrasolar planet candidate (Fomalhaut b) imaged at visible wavelengths. The image was published in Science in November 2008. Fomalhaut is the third brightest star (as viewed from Earth) known to have a planetary system, after the Sun and Pollux."
Scheat,Scheat,"Beta Pegasi (β Peg, β Pegasi) is a red giant star in the constellation Pegasus. The apparent visual magnitude of this star averages 2.42, making it the second brightest star in the constellation after Epsilon Pegasi. Its traditional name is Scheat, a name that has also been used for Delta Aquarii. According to Richard H. Allen, this name comes from the Arabic Al Sā'id for ""the upper arm"", or from Sa'd. Arabian astronomers named it Mankib al Faras, meaning the ""Horse's shoulder"". It forms the upper right corner of the Great Square of Pegasus, a prominent rectangular asterism.
Based upon parallax measurements, Beta Pegasi is located about 196 light-years (60 parsecs) from the Earth. It is unusual among bright stars in having a relatively cool surface temperature compared to stars like the Sun. This star has a stellar classification of M2.3 II–III, which indicates the spectrum has characteristics partway between a bright giant and a giant star. It has expanded until it is some 95 times as large, and has a total luminosity of 1500 times that of the Sun. The effective temperature of the star's outer envelope is about 3,700 K, giving the star the characteristic orange-red hue of an M-type star. The photosphere is sufficiently cool for molecules of titanium oxide to form.
Beta Pegasi is a semi-regular variable with a period of 43.3 days and a brightness that varies from magnitude +2.31 to +2.74. It is losing mass at a rate at or below 10−8 times the Sun's mass per year, which is creating an expanding shell of gas and dust with a radius of about 3,500 times the Sun's radius (16 Astronomical Units)."
Markab,Markab,"This article is about the star named Markab, for alternative meanings, see Markab (disambiguation).
Alpha Pegasi (α Peg, α Pegasi) is the third brightest star in the constellation Pegasus and one of the four stars in the asterism known as the Great Square of Pegasus. It has the traditional name Markab (or Marchab), which comes from an Arabic word مركب markab, ""the saddle of the horse"", or is mistranscription of Mankib comes from an Arabic phrase منكب الفرس Mankib al-Faras, ""(the Star of) the Shoulder (of the Constellation) of the Horse"" for β Pegasi.
Markab has a stellar classification of B9 III, indicating that it is a B-type giant star that has exhausted the hydrogen at its core and has evolved beyond the main sequence. It is rotating rapidly, with a projected rotational velocity of 125 km/s giving a lower bound on the azimuthal velocity along the star's equator. The effective temperature of the photosphere is nearly 10,000 K and the star has expanded to nearly five times the radius of the Sun."
p Eridani,p Eridani,"p Eridani (6 Eri, DUN 5) is a binary star system in the constellation of Eridanus (the River) whose distance is approximately 26 light-years. It was found to be a double star in December 1825 by James Dunlop in Australia at his home at Paramatta, now spelt Parramatta."
